Player Name,School Name,Region,Team,Year
Evan Arpin,Salve Regina University,II,First,2022
Patrick Filetti,Salem State College,II,First,2022
Liam Hanlon,Babson College,II,First,2022
Javier Beltran,Roger Williams University,II,First,2022
Mitch Collins,Babson College,II,First,2022
Bryce Nardizzi,Framingham State University,II,First,2022
Jordan Borges,Salve Regina University,II,First,2022
Alasdair Ferrier,Wheaton College (Mass.),II,First,2022
Joe Mepham,Endicott College,II,First,2022
Ben Williams,Babson College,II,First,2022
Jack Avellar,Roger Williams University,II,Second,2022
Cade Mallett,Emerson College,II,Second,2022
Niall Shea,Roger Williams University,II,Second,2022
Jude Sargent,United States Coast Guard Academy,II,Second,2022
Tiago Frazao,Endicott College,II,Second,2022
Aidan Ferguson,Emerson College,II,Second,2022
John Flood,United States Coast Guard Academy,II,Second,2022
Robert Lloyd,Wheaton College (Mass.),II,Second,2022
Luke Savoie,Worcester Polytechnic Institute,II,Second,2022
Brady Sorensen,Suffolk University,II,Second,2022
Ethan Fitzsimmons,Emerson College,II,Third,2022
Nate Hanna,SUNY Oneonta,III,First,2022
Tristan Battistoni,SUNY Oneonta,III,First,2022
John Bernardi,SUNY Oneonta,III,First,2022
Ian Blugh,SUNY Cortland,III,First,2022
Joe Vogt,SUNY Geneseo,III,First,2022
Russ Domm,SUNY Brockport,III,First,2022
Mateo Marra,SUNY Cortland,III,First,2022
Marvin Sibanda,St. Lawrence University,III,First,2022
Ander Castillo,Medaille College,III,First,2022
Lucas Fecci,SUNY Oneonta,III,First,2022
Kamal Ibrahim,Skidmore College,III,First,2022
Matthew Stefaniw,SUNY Brockport,III,First,2022
Ben Woelfinger,St. Lawrence University,III,Second,2022
Trevor Henderson,Manhattanville College,III,Second,2022
Denton Henry,United States Merchant Marine,III,Second,2022
Antonio Rogliano,St. Lawrence University,III,Second,2022
Justin Arilotta,SUNY Geneseo,III,Second,2022
Owen Fauth,Vassar College,III,Second,2022
Ethan Fettaya,Yeshiva University,III,Second,2022
Ian Zingaro,SUNY Oneonta,III,Second,2022
Lucas Baredes,Yeshiva University,III,Second,2022
Jack Coleman,SUNY Cortland,III,Second,2022
Duncan Keker,Vassar College,III,Second,2022
Sam Pijpers,St. Lawrence University,III,Second,2022
Justin Silva,Farmingdale State College,III,Third,2022
Daniel Berry,Vassar College,III,Third,2022
Owen McGarrity,SUNY New Paltz,III,Third,2022
Rodrigo Fernandez,Medaille College,III,Third,2022
Ryan Lane,Vassar College,III,Third,2022
Miles Levy,St. Lawrence University,III,Third,2022
Michael Mezzina,Manhattanville College,III,Third,2022
Matthew Wyant,Mount Saint Mary College,III,Third,2022
Randy Dickersbach,Rochester Institute Of Technology,III,Third,2022
Victor Naci,St. Joseph's University Brooklyn,III,Third,2022
Cuneyt Vardar,Nazareth College,III,Third,2022
Justin Cross,Stevens Institute of Technology,IV,First,2022
Mathew Barlow,St. Mary's College of Maryland,IV,First,2022
Ian Chesney,Montclair State University,IV,First,2022
Fredric Kabeiseman,Stevens Institute of Technology,IV,First,2022
Bruno Andino,Stevens Institute of Technology,IV,First,2022
Josiah Crawford,Montclair State University,IV,First,2022
Chad Yates,Rowan University,IV,First,2022
Franco Catania,Rutgers University-Newark,IV,First,2022
Amer Lukovic,Montclair State University,IV,First,2022
Adam Silva,Stevens Institute of Technology,IV,First,2022
Arkan Tahsildaroglu,New York University,IV,First,2022
Shane Keenan,Montclair State University,IV,Second,2022
James McCombs,Stockton University,IV,Second,2022
Osbin Mendez,Ramapo College,IV,Second,2022
Drew Weaver,Misericordia University,IV,Second,2022
Brayden Wise,Lycoming College,IV,Second,2022
Joe Alba,Rutgers University-Newark,IV,Second,2022
Kobe Harris,Penn State University Harrisburg,IV,Second,2022
Sean Masur,Stevens Institute of Technology,IV,Second,2022
Max Gariano,Misericordia University,IV,Second,2022
Alex Ochman,St. Mary's College of Maryland,IV,Second,2022
Kedric Yoder,Lancaster Bible College,IV,Second,2022
Andrew Daubenspeck,Misericordia University,IV,Third,2022
Alex Morget,Johns Hopkins University,V,First,2022
Connor Anderko,Franklin & Marshall College,V,First,2022
Jake Lent-Koop,Messiah University,V,First,2022
Tim Treinen,Johns Hopkins University,V,First,2022
Shay Adamson,Franklin & Marshall College,V,First,2022
Domenico Caltabiano,Catholic University,V,First,2022
Luke Groothoff,Messiah University,V,First,2022
Chris Richards,Muhlenberg College,V,First,2022
Sean Fatiga,Widener University,V,First,2022
Matt McDonald,Messiah University,V,First,2022
Darius Siahpoosh,Catholic University,V,First,2022
Leonardo Torres,Marymount University,V,First,2022
Jared Pavlovich,Messiah University,V,Second,2022
Owen Maher,Catholic University,V,Second,2022
Ali Nakhid,Goucher College,V,Second,2022
Eddie Rainey,Elizabethtown College,V,Second,2022
Moses Beers,Cairn University,V,Second,2022
Francis Meyer,Johns Hopkins University,V,Second,2022
Tino Puentes,Drew University,V,Second,2022
Ian Whamond,Johns Hopkins University,V,Second,2022
Taylan Akdag,Muhlenberg College,V,Second,2022
Jack Carroll,Gettysburg College,V,Second,2022
Oscar Horowitz,Franklin & Marshall College,V,Second,2022
Axel Whamond,Johns Hopkins University,V,Second,2022
Sam Altman Farrell,Franklin & Marshall College,V,Third,2022
Joshua Goodyear,Cairn University,V,Third,2022
Brendan King,University of Scranton,V,Third,2022
Isaac Mintz,Franklin & Marshall College,V,Third,2022
Carlos Varona,Marymount University,V,Third,2022
Pedro Guizardi,Elizabethown College,V,Third,2022
Malher Santiago-Possu,Rosemont College,V,Third,2022
Nick Starr,McDaniel College,V,Third,2022
Jesse Brittain,Cairn University,V,Third,2022
Ryan Cogill,Alvernia College,V,Third,2022
Clayton Crosse,Rosemont College,V,Third,2022
Athi Msiza,Gettysburg College,V,Third,2022
Christian Tyson,Drew University,V,Third,2022
JP Furman,Sewanee-University of the South,VI,First,2022
Jay Patterson,Covenant College,VI,First,2022
Zach Shunnarah,Sewanee-University of the South,VI,First,2022
Tyler Smith,Washington & Lee University,VI,First,2022
Henry Asbill,Berry College,VI,First,2022
Carter Averette,University of Lynchburg,VI,First,2022
Samuel Bass,Washington & Lee University,VI,First,2022
Michael Kutsanzira,Washington & Lee University,VI,First,2022
Weyimi Agbeyegbe,Washington & Lee University,VI,First,2022
Enrique Hernandez,LaGrange College,VI,First,2022
Coleman Jennings,Birmingham-Southern College,VI,First,2022
Josh Kirkland,University of Mary Washington,VI,First,2022
Luke Mega,University of Lynchburg,VI,First,2022
Griffin Potter,Virginia Wesleyan University,VI,Second,2022
Jacob Kautzman,University of Mary Washington,VI,Second,2022
Elijah Lloyd,Randolph-Macon College,VI,Second,2022
Eli Pilcher,Rhodes College,VI,Second,2022
Zack Roberts,Hendrix College,VI,Second,2022
James Yeboah,Bridgewater College,VI,Second,2022
Dylan Berk,Roanoke College,VI,Second,2022
Trey Hines,Birmingham-Southern College,VI,Second,2022
Alex Moody,Virginia Wesleyan University,VI,Second,2022
Kyle Stenzel,Christopher Newport University,VI,Second,2022
Carter Berg,University of Mary Washington,VI,Second,2022
Jorge Lemus,William Peace University,VI,Second,2022
Jesus Tadeo,Rhodes College,VI,Second,2022
Mitchell Fenton,Rhodes College,VI,Third,2022
Rush Campbell,William Peace University,VI,Third,2022
Sebastian Quiroz-Gutierrez,University of Lynchburg,VI,Third,2022
Chris Jerrild,Roanoke College,VI,Third,2022
TJ Hurd,William Peace University,VI,Third,2022
Tracy Moon,Berry College,VI,Third,2022
Manzi Shalita,University of Lynchburg,VI,Third,2022
Blake Webb,LaGrange College,VI,Third,2022
William Bryan,Maryville College,VI,Third,2022
Nathan Carlson,Berry College,VI,Third,2022
Trevor Reichman,Sewanee-University of the South,VI,Third,2022
Mason Taylor,Ohio Wesleyan University,VII,First,2022
Zach Buvalic,Rose-Hulman Institute of Technology,VII,First,2022
Izac Coleman,John Carroll University,VII,First,2022
Luke Muther,Kenyon College,VII,First,2022
Cristian Gomez,Ohio Wesleyan University,VII,First,2022
Levi King,Ohio Northern University,VII,First,2022
Scott Upton,Kenyon College,VII,First,2022
Caleb Urban,Rose-Hulman Institute of Technology,VII,First,2022
Matthew Vatne,Case Western Reserve University,VII,First,2022
Samuel Belitz,Grove City College,VII,First,2022
Will Isaac,Otterbein University,VII,First,2022
Takezo Kelly,Rose-Hulman Institute of Technology,VII,First,2022
Luciano Salemi,Hanover College,VII,Second,2022
Sean Fleming,Hanover College,VII,Second,2022
Justin LeDonne,Penn State University-Behrend,VII,Second,2022
Ethan Marshall,Ohio Wesleyan University,VII,Second,2022
Cole Sauer,Geneva College,VII,Second,2022
Tyler Caterino,Westminster College (Pa.),VII,Second,2022
Nick Miller,Franciscan University,VII,Second,2022
Bruno Zamora,Wabash College,VII,Second,2022
Caleb Castano,Wabash College,VII,Second,2022
Elorm Dogbey,Wilmington College,VII,Second,2022
Alem Duratovic,Kenyon College,VII,Second,2022
Sebastian Gaese,Kenyon College,VII,Second,2022
Sam York,Penn State University-Behrend,VII,Third,2022
Jason Edmunds,Carnegie Mellon University,VII,Third,2022
Nathan Neal,Otterbein University,VII,Third,2022
Alexandru Rumleanschi,Case Western Reserve University,VII,Third,2022
Brady West,Ohio Wesleyan University,VII,Third,2022
Nick Felician,John Carroll University,VII,Third,2022
Fernando Martin,Hanover College,VII,Third,2022
Ethan Miracle,Denison University,VII,Third,2022
Sean Atwater,Case Western Reserve University,VII,Third,2022
Joao Domenici,Hanover College,VII,Third,2022
Christopher Guerra,Ohio Wesleyan University,VII,Third,2022
Puma Galvan,Wisconsin Lutheran College,VIII,First,2022
Steven Arthur,Milwaukee School of Engineering,VIII,First,2022
Richard Gillespie,University of Chicago,VIII,First,2022
Johnny Kraemer,North Central College,VIII,First,2022
Griffin Wada,University of Chicago,VIII,First,2022
Oliver Akintade,Calvin University,VIII,First,2022
Lyndon Hu,University of Chicago,VIII,First,2022
Aidan Westerberg,North Central College,VIII,First,2022
Jason Cano,Wisconsin Lutheran College,VIII,First,2022
Matteo Innocenti,North Central College,VIII,First,2022
Aahman Murvin,Webster University,VIII,First,2022
Chris Schau,Calvin University,VIII,First,2022
Daniel Wunder,Calvin University,VIII,Second,2022
